Facility,Date of Arrangement,Expiration Date,Amount Agreed,Amount Drawn,Amount Outstanding,Country
Structural Adjustment Facility Commitment,1988-02-01,1989-05-15,99400,28400,0,Kenya
Structural Adjustment Facility Commitment,1989-09-18,1992-09-17,20510,20510,0,Lao People's Democratic Republic
Structural Adjustment Facility Commitment,1988-06-29,1991-06-28,10570,10570,0,Lesotho
Structural Adjustment Facility Commitment,1987-08-31,1989-05-15,46480,13280,0,Madagascar
Structural Adjustment Facility Commitment,1988-08-05,1991-08-04,35560,25400,0,Mali
Structural Adjustment Facility Commitment,1986-09-22,1989-05-24,23730,16950,0,Mauritania
Structural Adjustment Facility Commitment,1987-06-08,1990-06-07,42700,42700,0,Mozambique
Structural Adjustment Facility Commitment,1987-10-14,1990-10-13,26110,26110,0,Nepal
Structural Adjustment Facility Commitment,1986-11-17,1988-12-12,21400,16850,0,Niger
Structural Adjustment Facility Commitment,1988-12-28,1991-12-27,382410,382410,0,Pakistan
Structural Adjustment Facility Commitment,1991-04-24,1994-04-23,30660,8760,0,Rwanda
Structural Adjustment Facility Commitment,1989-06-02,1992-06-01,2800,800,0,Sao Tome & Principe
Structural Adjustment Facility Commitment,1986-11-10,1988-11-21,54039,42550,0,Senegal
Structural Adjustment Facility Commitment,1994-03-28,1995-03-27,27020,27020,0,Sierra Leone
Structural Adjustment Facility Commitment,1986-11-14,1989-11-13,40530,11580,0,Sierra Leone
Structural Adjustment Facility Commitment,1987-06-29,1990-06-28,30940,8840,0,Somalia
Structural Adjustment Facility Commitment,1988-03-09,1991-03-08,156170,156170,0,Sri Lanka
Structural Adjustment Facility Commitment,1987-10-30,1990-10-29,74900,74900,0,Tanzania
Structural Adjustment Facility Commitment,1988-03-16,1989-05-31,26880,7680,0,Togo
Structural Adjustment Facility Commitment,1987-06-15,1989-04-17,69720,49800,0,Uganda
Structural Adjustment Facility Commitment,1995-12-06,1996-12-05,181750,181750,0,Zambia
